Taxon_name,NCBI_taxon_id,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species,NCBI_taxon_name
Methanocaldococcus jannaschii,2190,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii
Natronomonas,63743,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Unclassified Natronomonas,Natronomonas
Planctomyces,118,cellular organisms,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Unclassified Planctomyces,Planctomyces
Planctomyces maris,122,cellular organisms,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris,Gimesia maris
