Taxon_fasta_file_name,Taxon_name,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species
taxa_156586.fasta,Flavobacteria bacterium BBFL7,cellular organisms,Bacteria,Bacteroidetes,Flavobacteriia,Unclassified Flavobacteriia,Unclassified Flavobacteriia,Unclassified Flavobacteriia,Unclassified Flavobacteriia
UP000000354.fasta,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),Viruses,Viruses,Riboviria,Unclassified Riboviria,Nidovirales,Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome-related coronavirus
