Taxon_fasta_file_name,Taxon_name,NCBI_taxon_id
taxa_156586.fasta,Flavobacteria bacterium BBFL7,156586
UP000000354.fasta,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),694009
