METATRYP_taxa_name,genome_name,ncbi_id,img_genome_id,tax_domain,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_species
Flavobacteria_bacterium_BAL38,Flavobacteria bacterium BAL38,391598,640612204,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Unclassified Flavobacteriales,Unclassified Flavobacteriales,Unclassified Flavobacteriales
Flavobacteria_bacterium_BBFL7,Flavobacteria bacterium BBFL7,156586,638341093,Bacteria,Bacteroidetes,Flavobacteriia,Unclassified Flavobacteriia,Unclassified Flavobacteriia,Unclassified Flavobacteriia,Unclassified Flavobacteriia
Fulvimarina_pelagi_HTCC2506,Fulvimarina pelagi HTCC2506,314231,639857001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Fulvimarina,Fulvimarina pelagi
Gammaproteobacteria_sp_OM60_HIMB55,Gammaproteobacteria sp. OM60 HIMB55,745014,2513237293,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Unclassified Halieaceae,Unclassified Halieaceae
Hydrogenivirga_sp_128-5-R1-1,Hydrogenivirga sp. 128-5-R1-1,392423,2636416138,Archaea,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,Unclassified Hydrogenivirga
Idiomarina_baltica_OS145,Idiomarina baltica OS145,314276,638341106,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina baltica
Janibacter_sp_HTCC2649,Janibacter sp. HTCC2649,313589,638341107,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter,Unclassified Janibacter
Kordia_algicida_OT-1,Kordia algicida OT-1,391587,641380434,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia algicida
Lentisphaera_araneosa_HTCC2155,Lentisphaera araneosa HTCC2155,313628,640963040,Bacteria,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,Lentisphaera araneosa
Limnobacter_sp_MED105,Limnobacter sp. MED105,391597,640963026,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Unclassified Limnobacter
