Taxon_fasta_file_name,Taxon_name,NCBI_taxon_id,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species,NCBI_taxon_name
Acetothermia_bacterium_UBA3571_protein.faa,Acetothermia_bacterium_UBA3571,1953097,cellular organisms,Bacteria,Candidatus Bipolaricaulota,Unclassified Candidatus Bipolaricaulota,Unclassified Candidatus Bipolaricaulota,Unclassified Candidatus Bipolaricaulota,Unclassified Candidatus Bipolaricaulota,Acetothermia bacterium UBA3571,Acetothermia bacterium UBA3571
Acidiferrobacteraceae_bacterium_strain_NP79_protein.faa,Acidiferrobacteraceae_bacterium_strain_NP79,2024893,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Unclassified Acidiferrobacteraceae,Acidiferrobacteraceae bacterium,Acidiferrobacteraceae bacterium
Dehalococcoidia_bacterium_UBA6627_protein.faa,Dehalococcoidia_bacterium_UBA6627,1948514,cellular organisms,Bacteria,Chloroflexi,Dehalococcoidia,Unclassified Dehalococcoidia,Unclassified Dehalococcoidia,Unclassified Dehalococcoidia,Dehalococcoidia bacterium UBA6627,Dehalococcoidia bacterium UBA6627
Euryarchaeota_archaeon_strain_SAT122_protein.faa,Euryarchaeota_archaeon_strain_SAT122,2026739,cellular organisms,Archaea,Euryarchaeota,Unclassified Euryarchaeota,Unclassified Euryarchaeota,Unclassified Euryarchaeota,Unclassified Euryarchaeota,Euryarchaeota archaeon,Euryarchaeota archaeon
